href|lat|lon|lines|station|distance|google|time|apttype|area|borough|price|price2|bedrooms|listed|updated|avail|building|feet|amenslist|laundry|unitlaundry|gym|dishwasher|offers|nofee
http://www.nakedapartments.com/apartment/1-Bedroom-East-74TH-ST-New-York-NY-10021-4sxJgVF|40.770474|-73.958844|4,6,5|77 St|0.23|https://www.google.com/maps/dir/Wall+Street+Journal,+1211+Avenue+of+the+Americas,+New+York,+NY+10036/%27%27/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x89c258ff6b2dac81:0x8579374f9050c674!2m2!1d-73.958844!2d40.770474!1m3!2m2!1d-73.958844!2d40.770474!3e3|18|1.5br|Upper East Side|Manhattan|2100|2100|1.5|9 days|9 days|Apr. 01, 2014|Townhouse||Dishwasher,Laundry Room,On-site super|x|||x|No fee|x
http://www.nakedapartments.com/apartment/1-Bedroom-Hoyt-AVE-S-Queens-NY-11102-pQD6lkE|40.771735|-73.920115|N,Q|Astoria Blvd|0.19|https://www.google.com/maps/dir/Wall+Street+Journal,+1211+Avenue+of+the+Americas,+New+York,+NY+10036/%27%27/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x89c258ff6b2dac81:0x8579374f9050c674!2m2!1d-73.920115!2d40.771735!1m3!2m2!1d-73.920115!2d40.771735!3e3|28|1br|Astoria|Queens|2200|2200|1|18 days|About 1 hour|Immediately|||Balcony,Elevator,Garage,Gym,In-Unit Laundry,Laundry Room|x|x|x|x||
http://www.nakedapartments.com/apartment/1-Bedroom-48TH-ST-Queens-NY-11104-mTtdP4h|40.744072|-73.9162769|7|46 St|0.16|https://www.google.com/maps/dir/Wall+Street+Journal,+1211+Avenue+of+the+Americas,+New+York,+NY+10036/%27%27/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x89c258ff6b2dac81:0x8579374f9050c674!2m2!1d-73.9162769!2d40.744072!1m3!2m2!1d-73.9162769!2d40.744072!3e3|26|1br|Sunnyside|Queens|1675|1675|1|11 days|11 days|Immediately|Elevator/Laundry Building||Elevator,Laundry Room,On-site super|x|||x||
http://www.nakedapartments.com/apartment/1-Bedroom-Prospect-PARK-W-Brooklyn-NY-11215-dl0TbM3U|40.6658323|-73.9762376|G,F|7 Av|0.28|https://www.google.com/maps/dir/Wall+Street+Journal,+1211+Avenue+of+the+Americas,+New+York,+NY+10036/%27%27/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x89c258ff6b2dac81:0x8579374f9050c674!2m2!1d-73.9762376!2d40.6658323!1m3!2m2!1d-73.9762376!2d40.6658323!3e3|35|1br|Windsor Terrace|Brooklyn|2250|2250|1|24 days|24 days|Immediately|Post War||Dishwasher,In-Unit Laundry,Laundry Room|x|x||x||
http://www.nakedapartments.com/apartment/1-Bedroom-East-81ST-ST-New-York-NY-10028-Mv6L8SW|40.7748852177|-73.9552405114|4,6,5|86 St|0.32|https://www.google.com/maps/dir/Wall+Street+Journal,+1211+Avenue+of+the+Americas,+New+York,+NY+10036/%27%27/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x89c258ff6b2dac81:0x8579374f9050c674!2m2!1d-73.9552405114!2d40.7748852177!1m3!2m2!1d-73.9552405114!2d40.7748852177!3e3|26|1br|Upper East Side|Manhattan|2200|2200|1|8 days|8 days|Immediately|Pre War||Laundry Room,On-site super|x|||x||
http://www.nakedapartments.com/apartment/1-Bedroom-East-83RD-ST-New-York-NY-10028-4LdmpFV|40.777726|-73.9577083|4,6,5|86 St|0.19|https://www.google.com/maps/dir/Wall+Street+Journal,+1211+Avenue+of+the+Americas,+New+York,+NY+10036/%27%27/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x89c258ff6b2dac81:0x8579374f9050c674!2m2!1d-73.9577083!2d40.777726!1m3!2m2!1d-73.9577083!2d40.777726!3e3|25|1br|Upper East Side|Manhattan|1995|1995|1|11 days|11 days|Mar. 31, 2014|Brownstone||Laundry Room,On-site super|x|||x||
http://www.nakedapartments.com/apartment/1-Bedroom-East-76TH-ST-New-York-NY-10021-4xQLkrY|40.7707513|-73.9552629|4,6,5|77 St|0.38|https://www.google.com/maps/dir/Wall+Street+Journal,+1211+Avenue+of+the+Americas,+New+York,+NY+10036/%27%27/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x89c258ff6b2dac81:0x8579374f9050c674!2m2!1d-73.9552629!2d40.7707513!1m3!2m2!1d-73.9552629!2d40.7707513!3e3|21|1br|Upper East Side|Manhattan|2250|2250|1|28 days|28 days|Immediately|||Balcony,Dishwasher,Laundry Room,Outdoor Space|x|||x|No fee|x
http://www.nakedapartments.com/apartment/1-Bedroom-West-45TH-New-York-NY-10036-6JhisNX7|40.760117|-73.990055|C,E,A|42 St - Port Authority Bus Terminal|0.02|https://www.google.com/maps/dir/Wall+Street+Journal,+1211+Avenue+of+the+Americas,+New+York,+NY+10036/%27%27/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x89c258ff6b2dac81:0x8579374f9050c674!2m2!1d-73.990055!2d40.760117!1m3!2m2!1d-73.990055!2d40.760117!3e3|11|1br|Clinton|Manhattan|2300|2300|1|16 days|15 days|Apr. 01, 2014|||Dishwasher,Doorman,Elevator,Laundry Room,Storage Room|x|||x|No fee|x
http://www.nakedapartments.com/apartment/1-Bedroom-East-83RD-ST-New-York-NY-10028-MD4RSkX|40.776086|-73.954132|4,6,5|86 St|0.26|https://www.google.com/maps/dir/Wall+Street+Journal,+1211+Avenue+of+the+Americas,+New+York,+NY+10036/%27%27/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x89c258ff6b2dac81:0x8579374f9050c674!2m2!1d-73.954132!2d40.776086!1m3!2m2!1d-73.954132!2d40.776086!3e3|25|1br|Upper East Side|Manhattan|2090|2090|1|8 days|8 days|Immediately|||Dishwasher,Laundry Room|x|||x||
http://www.nakedapartments.com/apartment/1-Bedroom-30TH-RD-Queens-NY-11102-nXcBu5I|40.7672323|-73.9244748|N,Q|30 Av|0.21|https://www.google.com/maps/dir/Wall+Street+Journal,+1211+Avenue+of+the+Americas,+New+York,+NY+10036/%27%27/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x89c258ff6b2dac81:0x8579374f9050c674!2m2!1d-73.9244748!2d40.7672323!1m3!2m2!1d-73.9244748!2d40.7672323!3e3|27|1br|Astoria|Queens|1695|1695|1|25 days|About 1 hour|Immediately|||Elevator,Laundry Room|x|||x||
